ID	GLOSS	PRIORITY
1758	///elder sister	1
2489	ABACUS///Abacus	2
2489	ABACUS///abacus	2
2489	ABACUS///the abacus	4
2489	ABACUS///the abacuss	4
1097	ABANDON///leave it	1
1097	ABANDON///the abandon	3
1097	ABANDON///the abandons	3
1097	ABANDON///to leave it	2
2527	ABILITY///the ability	0
2527	ABILITY///the abilitys	0
1741	ABOVE///above	15
1741	ABOVE///above — over (adv.)	1
1741	ABOVE///over	2
303	ABSTAIN FROM FOOD///fast (vb)	1
303	ABSTAIN FROM FOOD///fast (vb., religious)	1
303	ABSTAIN FROM FOOD///to abstain from food	4
303	ABSTAIN FROM FOOD///to fast	2
1953	ABUSE///abuse	1
1953	ABUSE///the abuse	1
1953	ABUSE///the abuses	1
2437	ACAI PALM///AÇAÍ PALM	1
2437	ACAI PALM///the acai palm	1
2437	ACAI PALM///the acai palms	1
1542	ACCOMPANY///accompany	2
1542	ACCOMPANY///to accompany	2
2603	ACCORDION///Accordion	2
2603	ACCORDION///the accordion	2
2603	ACCORDION///the accordions	2
1814	ACCUSE///accuse	4
1814	ACCUSE///to accuse	6
1118	ACCUSTOM///get accustomed	1
1118	ACCUSTOM///to accustom	1
1815	ACHE///to ache	1
349	ACHIOTE///ACHIOTE	1
349	ACHIOTE///achiote	1
349	ACHIOTE///the achiote	2
349	ACHIOTE///the achiotes	2
968	ACORN///Acorn	1
968	ACORN///acorn	3
968	ACORN///the acorn	6
968	ACORN///the acorns	6
988	ACQUIT///acquit	3
988	ACQUIT///to acquit	5
2670	ACROSS///across	1
2670	ACROSS///across (stream)	1
1861	ACTIVE///active	1
1861	ACTIVE///active (adjective)	1
802	ADAM'S APPLE///Adam's apple	1
802	ADAM'S APPLE///adam’s apple	1
802	ADAM'S APPLE///the adam's apple	2
802	ADAM'S APPLE///the adam's apples	2
591	ADDRESS///the address	2
591	ADDRESS///the addresss	2
1818	ADJUDICATE///judge (vb)	2
1818	ADJUDICATE///judge (vb.)	1
1818	ADJUDICATE///to adjudicate	5
2022	ADMIT///admit, confess	2
2022	ADMIT///admit; confess	1
2022	ADMIT///to admit	5
901	ADOBE///adobe	2
901	ADOBE///the adobe	4
901	ADOBE///the adobes	4
2496	ADORNED///adorned (adjective)	2
2496	ADORNED///crested	2
1822	ADORNMENT///the adornment	0
1822	ADORNMENT///the adornments	0
902	ADULTERY///adultery	3
902	ADULTERY///the adultery	5
902	ADULTERY///the adulterys	5
290	ADZE///adze	2
290	ADZE///the adze	4
290	ADZE///the adzes	4
2737	AFFAIR (CLASSIFIER)///affair (classifier) (classifier)	1
2737	AFFAIR (CLASSIFIER)///piece (classifier for thing)	1
2214	AFFAIR///affair	1
2214	AFFAIR///affair, matter	1
2214	AFFAIR///the affair	2
2214	AFFAIR///the affairs	2
1685	AFTER///after	7
1807	AFTERNOON///Afternoon	1
1807	AFTERNOON///afternoon	7
1807	AFTERNOON///afternoon (late)	1
1807	AFTERNOON///the afternoon	11
1807	AFTERNOON///the afternoons	11
2093	AFTERWARDS///afterwards	2
204	AGAIN///again	13
2469	AGAINST///against	2
2469	AGAINST///against (adjective)	2
1789	AGE///age	4
1789	AGE///old age	1
1789	AGE///the age	7
1789	AGE///the ages	7
313	AGOUTI///AGOUTI	2
313	AGOUTI///agouti	2
313	AGOUTI///the agouti	4
313	AGOUTI///the agoutis	4
27	AIR///air	4
27	AIR///the air	6
27	AIR///the airs	6
1597	AIRPLANE///airplane	1
1597	AIRPLANE///the airplane	3
1597	AIRPLANE///the airplanes	3
464	ALANG-ALANG GRASS///alang-alang grass	1
464	ALANG-ALANG GRASS///the alang-alang grass	1
464	ALANG-ALANG GRASS///the alang-alang grasss	1
2050	ALCOHOL (DRINK)///the alcohol (drink)	0
2050	ALCOHOL (DRINK)///the alcohol (drink)s	0
404	ALCOHOL (FERMENTED DRINK)///alcohol (drink)	1
404	ALCOHOL (FERMENTED DRINK)///alcohol/liquor	1
404	ALCOHOL (FERMENTED DRINK)///alcoholic beverage	1
404	ALCOHOL (FERMENTED DRINK)///fermented drink	2
404	ALCOHOL (FERMENTED DRINK)///the alcohol (fermented drink)	6
404	ALCOHOL (FERMENTED DRINK)///the alcohol (fermented drink)s	6
404	ALCOHOL (FERMENTED DRINK)///the fermented drink	1
2650	ALL OR MANY///all or many	0
98	ALL///ALL	5
98	ALL///All	2
98	ALL///all	109
98	ALL///all (adjective, plural neuter)	1
98	ALL///all (as in ‘all of the stones’)	1
98	ALL///all (of a number)	2
98	ALL///all (omnis)	1
98	ALL///all (pl.)	2
98	ALL///all (things)	2
98	ALL///all, everybody	1
98	ALL///all; every	1
98	ALL///alle	2
98	ALL///every	1
98	ALL///every, all	2
1581	ALLIGATOR///CAYMAN	1
1581	ALLIGATOR///cayman	1
1581	ALLIGATOR///the alligator	2
1581	ALLIGATOR///the alligators	2
1964	ALONE///alone	2
1964	ALONE///alone (adjective)	2
2576	ALREADY///already	3
853	ALTAR///altar	2
853	ALTAR///the altar	4
853	ALTAR///the altars	4
2535	ALTITUDE///the altitude	0
2535	ALTITUDE///the altitudes	0
1676	ALWAYS///always	7
1863	AMAZING///amazing	1
1863	AMAZING///amazing (adjective)	1
65	AMBUSH///ambush	2
65	AMBUSH///ambush (sb.)	1
65	AMBUSH///ambush, embuscade	1
65	AMBUSH///the ambush	6
65	AMBUSH///the ambushs	6
2804	AMULET///amulet	1
2804	AMULET///the amulet	1
2804	AMULET///the amulets	1
896	ANACONDA (WATER BOA)///ANACONDA	1
896	ANACONDA (WATER BOA)///anaconda, water boa	1
896	ANACONDA (WATER BOA)///the anaconda (water boa)	2
896	ANACONDA (WATER BOA)///the anaconda (water boa)s	2
1669	ANCESTORS///ancestor	1
1669	ANCESTORS///ancestors	3
1669	ANCESTORS///the ancestors	6
1669	ANCESTORS///the ancestorss	6
1870	ANCHOR///anchor	3
1870	ANCHOR///the anchor	5
1870	ANCHOR///the anchors	5
1577	AND///AND	3
1577	AND///and	49
82	ANGER///anger	5
82	ANGER///fury; rage	1
82	ANGER///the anger	8
82	ANGER///the angers	8
1826	ANGRY///angry	5
1826	ANGRY///angry (adjective)	6
2757	ANGULAR (SQUAREFORMED)///angular, having the form of a square	1
2757	ANGULAR (SQUAREFORMED)///the angular (squareformed)	1
2757	ANGULAR (SQUAREFORMED)///the angular (squareformed)s	1
2096	ANIMAL OR MEAT///meat, animal	3
2096	ANIMAL OR MEAT///meat/animal	2
2096	ANIMAL OR MEAT///the animal or meat	5
2096	ANIMAL OR MEAT///the animal or meats	5
619	ANIMAL///ANIMAL	5
619	ANIMAL///Animal	1
619	ANIMAL///animal	53
619	ANIMAL///animal; beast	1
619	ANIMAL///the animal	62
619	ANIMAL///the animals	62
803	ANKLE///ankle	8
803	ANKLE///the ankle	10
803	ANKLE///the ankles	10
9	ANNOUNCE///announce	3
9	ANNOUNCE///to announce	5
1275	ANSWER///answer	7
1275	ANSWER///answer (V)	2
1275	ANSWER///answer (to)	1
1275	ANSWER///answer (v.)	1
1275	ANSWER///answer (vb.)	1
1275	ANSWER///to answer	17
587	ANT///ANT	2
587	ANT///ANT2	1
587	ANT///ANT3	1
587	ANT///LARGE ANT (TOCANDEIRA)	1
587	ANT///ant	28
587	ANT///ant sp.	1
587	ANT///the ant	37
587	ANT///the ants	37
181	ANTEATER///ANTEATER	1
181	ANTEATER///anteater	1
181	ANTEATER///the anteater	4
181	ANTEATER///the anteaters	4
1873	ANTHILL///ant-hill	1
1873	ANTHILL///anthill	1
1873	ANTHILL///the anthill	2
1873	ANTHILL///the anthills	2
1935	ANUS///anus	2
1935	ANUS///the anus	2
1935	ANUS///the anuss	2
1648	ANVIL///anvil	3
1648	ANVIL///the anvil	5
1648	ANVIL///the anvils	5
1000	ANXIETY///anxiety	1
1000	ANXIETY///anxiety, worry	2
1000	ANXIETY///the anxiety	5
1000	ANXIETY///the anxietys	5
1017	APPEARANCE///appearance; look (sb.); sight	1
1017	APPEARANCE///look (n.)	1
1017	APPEARANCE///the appearance	2
1017	APPEARANCE///the appearances	2
1320	APPLE///apple	5
1320	APPLE///the apple	5
1320	APPLE///the apples	5
1778	APPROACH///approach	3
1778	APPROACH///to approach	5
2745	APRICOT BLOSSOM///apricot blossom	1
2745	APRICOT BLOSSOM///the apricot blossom	1
2745	APRICOT BLOSSOM///the apricot blossoms	1
2357	APRICOT TREE///the apricot tree	0
2357	APRICOT TREE///the apricot trees	0
2046	APRON///apron	2
2046	APRON///the apron	2
2046	APRON///the aprons	2
876	ARCH///arch	3
876	ARCH///the arch	5
876	ARCH///the archs	5
261	ARCTIC LIGHTS///the arctic lights	2
261	ARCTIC LIGHTS///the arctic lightss	2
2632	AREA UNDER HOUSE///area under house	2
2632	AREA UNDER HOUSE///space under house	1
2632	AREA UNDER HOUSE///the area under house	3
2632	AREA UNDER HOUSE///the area under houses	3
2121	ARM OR HAND///Hand, arm	1
2121	ARM OR HAND///arm/hand	2
2121	ARM OR HAND///hand (my)	1
2121	ARM OR HAND///hand, arm	1
2121	ARM OR HAND///hand/arm	4
2121	ARM OR HAND///the arm or hand	9
2121	ARM OR HAND///the arm or hands	9
1673	ARM///ARM	1
1673	ARM///ARM2	1
1673	ARM///arm	40
1673	ARM///the arm	44
1673	ARM///the arms	44
1885	ARMADILLO///ARMADILLO	2
1885	ARMADILLO///ARMADILLO2	1
1885	ARMADILLO///armadillo	2
1885	ARMADILLO///the armadillo	5
1885	ARMADILLO///the armadillos	5
1061	ARMOUR///armor	1
1061	ARMOUR///armor (defensive)	2
1061	ARMOUR///the armour	5
1061	ARMOUR///the armours	5
1886	ARMPIT///armpit	18
1886	ARMPIT///the armpit	21
1886	ARMPIT///the armpits	21
1561	ARMY///army	5
1561	ARMY///the army	7
1561	ARMY///the armys	7
1568	ARRANGE///arrange	1
1568	ARRANGE///to arrange	1
2212	ARRIVE (OF AN EVENT)///to arrive (of an event)	1
2212	ARRIVE (OF AN EVENT)///to come (of an event)	1
1387	ARRIVE///ARRIVE	1
1387	ARRIVE///arrive	3
1387	ARRIVE///arrive; reach	1
1387	ARRIVE///reach, arrive	2
1387	ARRIVE///to (reach)	1
1387	ARRIVE///to arrive	12
1387	ARRIVE///to reach	1
977	ARROW///ARROW, (BOW)	1
977	ARROW///ARROW2, (SPEAR)	1
977	ARROW///arrow	28
977	ARROW///arrow (1)	1
977	ARROW///arrow (2)	1
977	ARROW///arrow (a)	1
977	ARROW///arrow (b)	1
977	ARROW///arrow (c)	1
977	ARROW///arrow (d)	1
977	ARROW///the arrow	38
977	ARROW///the arrows	38
1889	ARSON///arson	3
1889	ARSON///the arson	5
1889	ARSON///the arsons	5
1925	ARTERY///the artery	0
1925	ARTERY///the arterys	0
646	ASH///ASH	3
646	ASH///ASH(ES)	1
646	ASH///ASHES	3
646	ASH///Ash	1
646	ASH///Ashes	3
646	ASH///ash	32
646	ASH///ash(es)	1
646	ASH///ash(es) (ma)	3
646	ASH///ash/ashes	1
646	ASH///ashes	83
646	ASH///ashes (cold ashes left after fire)	1
646	ASH///ashes, dust	1
646	ASH///the ash	135
646	ASH///the ashs	135
1894	ASHAMED///ashamed	7
1894	ASHAMED///ashamed (adjective)	8
1894	ASHAMED///shame/ashamed	1
1309	ASK (INQUIRE)///ask	9
1309	ASK (INQUIRE)///ask (question)	2
1309	ASK (INQUIRE)///ask (question, inquire)	2
1309	ASK (INQUIRE)///ask1 (inquire)	1
1309	ASK (INQUIRE)///to ask	1
1309	ASK (INQUIRE)///to ask (inquire)	18
1309	ASK (INQUIRE)///to ask(1)	2
1309	ASK (INQUIRE)///to ask, inquire	1
1828	ASK (REQUEST)///ask for	1
1828	ASK (REQUEST)///ask, request	2
1828	ASK (REQUEST)///ask2 (request); request	1
1828	ASK (REQUEST)///to ask (request)	7
1828	ASK (REQUEST)///to ask(2)	2
1828	ASK (REQUEST)///to ask, beg	1
2605	ASPARAGUS///Asparagus	1
2605	ASPARAGUS///the asparagus	1
2605	ASPARAGUS///the asparaguss	1
903	ASPEN///aspen	1
903	ASPEN///the aspen	1
903	ASPEN///the aspens	1
1900	ASTONISHED///astonished (adjective)	0
1461	AT///AT	3
1461	AT///at	42
57	ATOP///atop	1
722	ATTACK///attack	2
722	ATTACK///attack (sb.)	1
722	ATTACK///the attack	6
722	ATTACK///the attacks	6
722	ATTACK///to attack	1
1908	ATTENTIVE///attentive	1
1908	ATTENTIVE///the attentive	1
1908	ATTENTIVE///the attentives	1
1146	AUBERGINE///eggplant	5
1146	AUBERGINE///eggplant (fruit)	1
1146	AUBERGINE///the aubergine	6
1146	AUBERGINE///the aubergines	6
2383	AUNT OR MOTHER-IN-LAW///MOTHER-IN-LAW, AUNT	1
2383	AUNT OR MOTHER-IN-LAW///MOTHER-IN-LAW2, AUNT	1
2383	AUNT OR MOTHER-IN-LAW///the aunt or mother-in-law	2
2383	AUNT OR MOTHER-IN-LAW///the aunt or mother-in-laws	2
2682	AUNT OR UNCLE///the aunt or uncle	1
2682	AUNT OR UNCLE///the aunt or uncles	1
2682	AUNT OR UNCLE///uncle/aunt	1
1272	AUNT///aunt	5
1272	AUNT///aunt (pat.)	1
1272	AUNT///aunt (paternal)	1
2171	AUNT///aunt (wife of father's younger brother)	1
1272	AUNT///the aunt	9
1272	AUNT///the aunts	9
1637	AUTHORITY///power, authority	1
1637	AUTHORITY///the authority	1
1637	AUTHORITY///the authoritys	1
1276	AUTUMN///autumn	7
1276	AUTUMN///the autumn	9
1276	AUTUMN///the autumn/fall	2
1276	AUTUMN///the autumns	9
825	AWAKE///awake	1
825	AWAKE///awake (adjective)	10
825	AWAKE///awaken	7
825	AWAKE///be awake	1
825	AWAKE///to be awake	1
278	AWL///awl	4
278	AWL///awl; needle	1
278	AWL///the awl	7
278	AWL///the awls	7
2083	AXE (CLASSIFIER)///CLS for axe	1
2083	AXE (CLASSIFIER)///axe (classifier) (classifier)	1
677	AXE///ax	6
677	AXE///axe	12
677	AXE///axe (iron)	1
677	AXE///axe (stone)	1
677	AXE///the axe	23
677	AXE///the axe/ax	2
677	AXE///the axes	23
1769	AXLE///axle	4
1769	AXLE///the axle	6
1769	AXLE///the axles	6
1197	BABOON///baboon	1
1197	BABOON///the baboon	1
1197	BABOON///the baboons	1
1289	BABY///baby	6
1289	BABY///baby, infant	1
1289	BABY///infant	1
1289	BABY///infant, baby	2
1289	BABY///the baby	12
1289	BABY///the babys	12
2323	BACK (PART)///back, back side	1
2323	BACK (PART)///the back (part)	1
2323	BACK (PART)///the back (part)s	1
523	BACK OF HEAD///back of the head	1
523	BACK OF HEAD///the back of head	1
523	BACK OF HEAD///the back of heads	1
1291	BACK///(its) back	1
1291	BACK///BACK	4
1291	BACK///Back	1
1291	BACK///back	70
1291	BACK///back (anat.)	1
1291	BACK///back (body part)	2
1291	BACK///back (n. — of man)	1
1291	BACK///back (nn.)	1
1291	BACK///back (of a person)	1
1291	BACK///back (part of body)	1
1291	BACK///back (person's)	1
1291	BACK///back of body	1
1291	BACK///the back	87
1291	BACK///the backs	87
56	BAD LUCK///disaster; misfortune	1
56	BAD LUCK///misfortune, bad luck	2
56	BAD LUCK///the bad luck	5
56	BAD LUCK///the bad lucks	5
2197	BAD PERSON///bad person	1
2197	BAD PERSON///the bad person	1
2197	BAD PERSON///the bad persons	1
1292	BAD///BAD	4
1292	BAD///bad	70
1292	BAD///bad (adjective)	87
1292	BAD///bad (deleterious or unsuitable)	1
1292	BAD///bad (deleterious, unsuitable)	1
1292	BAD///bad (ethically)	1
1292	BAD///bad (thing)	2
1292	BAD///bad, don't!	1
1292	BAD///bad, evil	3
1292	BAD///bad; evil	1
1292	BAD///to be bad	1
1292	BAD///worse	1
1292	BAD///worst	1
2468	BAG///bag	2
2468	BAG///the bag	2
2468	BAG///the bags	2
2013	BAIT///bait	2
2013	BAIT///the bait	4
2013	BAIT///the baits	4
183	BAKE///bake	3
183	BAKE///to bake	5
2568	BAKER///baker	1
2568	BAKER///the baker	1
2568	BAKER///the bakers	1
1125	BALD///bald	11
1125	BALD///bald (adjective)	11
1845	BALL///ball	6
1845	BALL///sphere	1
1845	BALL///sphere, ball	2
1845	BALL///the ball	11
1845	BALL///the balls	11
2160	BAMBOO HAT///bamboo hat	1
2160	BAMBOO HAT///the bamboo hat	1
2160	BAMBOO HAT///the bamboo hats	1
2494	BAMBOO SHOOT///bamboo shoot	4
2494	BAMBOO SHOOT///the bamboo shoot	4
2494	BAMBOO SHOOT///the bamboo shoots	4
1927	BAMBOO///bamboo	21
1927	BAMBOO///the bamboo	24
1927	BAMBOO///the bamboos	24
1795	BANANA TREE///banana-tree	1
1795	BANANA TREE///the banana tree	1
1795	BANANA TREE///the banana trees	1
868	BANANA///BANANA	1
868	BANANA///banana	17
868	BANANA///banana (fruit)	2
868	BANANA///banana tree	2
868	BANANA///the banana	24
868	BANANA///the bananas	24
276	BANISTERIUM///banisterium	1
276	BANISTERIUM///the banisterium	1
276	BANISTERIUM///the banisteriums	1
1284	BANK///bank (financial)	1
1284	BANK///the bank	3
1284	BANK///the bank (financial institution)	1
1284	BANK///the banks	3
346	BANYAN///banyan	2
346	BANYAN///bough	1
346	BANYAN///the banyan	5
346	BANYAN///the banyans	5
997	BAOBAB TREE///baobab tree	1
997	BAOBAB TREE///the baobab tree	1
997	BAOBAB TREE///the baobab trees	1
511	BAOZI///steamed stuffed bun	1
511	BAOZI///the baozi	1
511	BAOZI///the baozis	1
524	BARBEL///barbel	1
524	BARBEL///the barbel	1
524	BARBEL///the barbels	1
2127	BARK OR SKIN///bark/skin	1
2127	BARK OR SKIN///skin, bark	1
2127	BARK OR SKIN///skin/bark	2
2127	BARK OR SKIN///the bark or skin	4
2127	BARK OR SKIN///the bark or skins	4
1204	BARK///BARK	1
1204	BARK///BARK (OF A TREE)	3
1204	BARK///Bark	2
1204	BARK///Bark (tree)	1
1204	BARK///bark	64
1204	BARK///bark (nn.)	1
1204	BARK///bark (of a tree)	1
1204	BARK///bark (of tree)	10
1204	BARK///bark (to)	1
1204	BARK///bark (tree)	1
1204	BARK///bark [of tree]	1
1204	BARK///bark of tree	1
1204	BARK///bark(tree)	1
1204	BARK///the bark	92
1204	BARK///the barks	92
1204	BARK///to bark	1
1204	BARK///tree bark	1
1206	BARKING///bark	1
1206	BARKING///bark (dog)	2
1206	BARKING///bark (of dog)	1
1206	BARKING///to bark (of a dog)	1
1206	BARKING///to barking	5
932	BARLEY///barley	8
932	BARLEY///the barley	10
932	BARLEY///the barleys	10
2548	BARREL///the barrel	0
2548	BARREL///the barrels	0
370	BARTER///to barter	0
831	BASE///basis	1
831	BASE///the base	1
831	BASE///the bases	1
1539	BASKET///basket	8
1539	BASKET///the basket	10
1539	BASKET///the baskets	10
1947	BASTARD///bastard	1
1947	BASTARD///the bastard	1
1947	BASTARD///the bastards	1
1793	BAT///BAT	2
1793	BAT///bat	9
1793	BAT///bat (Microchiroptera)	1
1793	BAT///bat>>	1
1793	BAT///insect bat	1
1793	BAT///the bat	16
1793	BAT///the bats	16
138	BATHE///BATHE	1
138	BATHE///bath	1
138	BATHE///bathe	10
138	BATHE///bathe (itr)	1
138	BATHE///to bathe	17
138	BATHE///wash_bathe	1
662	BATTERY///the battery	2
662	BATTERY///the batterys	2
386	BATTLE-AXE///battle-ax	3
386	BATTLE-AXE///the battle-axe	5
386	BATTLE-AXE///the battle-axes	5
579	BATTLE///battle (sb.)	1
579	BATTLE///the battle	5
579	BATTLE///the battles	5
579	BATTLE///the war or battle	2
579	BATTLE///war, battle	2
663	BAY///bay	2
663	BAY///bay; gulf	1
663	BAY///gulf, bay	2
663	BAY///the bay	7
663	BAY///the bays	7
972	BE ABLE///(I) can	1
972	BE ABLE///able to	1
972	BE ABLE///able, be; can (vb.); may	1
972	BE ABLE///be able	2
972	BE ABLE///can	2
972	BE ABLE///can, to be able	1
972	BE ABLE///could	1
972	BE ABLE///may	1
972	BE ABLE///to be able	10
1422	BE ALIVE///TO LIVE	3
1422	BE ALIVE///alive	11
1422	BE ALIVE///alive (live)	1
1422	BE ALIVE///alive, life	1
1422	BE ALIVE///alive/live	1
1422	BE ALIVE///alive; life; live (= be alive); living	1
1422	BE ALIVE///live	25
1422	BE ALIVE///live (be alive)	1
1422	BE ALIVE///live (v., not be dead)	1
1422	BE ALIVE///live (vb.)	1
1422	BE ALIVE///live(alive)	6
1422	BE ALIVE///live, living, life	2
1422	BE ALIVE///live, to	1
1422	BE ALIVE///live/be alive	3
1422	BE ALIVE///to be alive	72
1422	BE ALIVE///to live	8
1422	BE ALIVE///to live (alive)	1
1422	BE ALIVE///to live, be alive	3
2223	BE ANGRY///angry; anger	1
2223	BE ANGRY///to be angry	3
2208	BE AT WAR///to be at war	1
1090	BE BORN///be born	3
1090	BE BORN///be born, to	1
1090	BE BORN///bear (give birth to)	1
1090	BE BORN///born	2
1090	BE BORN///born (to be)	2
1090	BE BORN///to be born	14
1533	BE HUNGRY///(he was) hungry	1
1533	BE HUNGRY///hunger (sb.)	1
1533	BE HUNGRY///hungry	11
1533	BE HUNGRY///to be hungry	17
1533	BE HUNGRY///to be hungry / you are hungry	1
1533	BE HUNGRY///to feel hunger	1
2651	BE IGNORANT///to be ignorant	0
425	BE LATE///delay (vb. intr.)	1
425	BE LATE///retard, delay	2
425	BE LATE///to be late	4
428	BE MANY///(be) many (v).	1
428	BE MANY///(be) many (v.)	1
428	BE MANY///be many	5
428	BE MANY///many	1
428	BE MANY///many (people)	1
428	BE MANY///to be many	1
48	BE SILENT///be silent	2
48	BE SILENT///silent (a.)	1
48	BE SILENT///silent (be)	2
48	BE SILENT///silent, be	1
48	BE SILENT///to be silent	7
62	BE SITUATED///be situated	1
62	BE SITUATED///to be situated	1
1579	BE///COPULA	1
1579	BE///am	1
1579	BE///are	1
1579	BE///be	6
1579	BE///be (to)	1
1579	BE///been	1
1579	BE///is	3
1579	BE///to be	20
1579	BE///was	1
1579	BE///were	1
1579	BE///will	1
1860	BEAD///bead	2
1860	BEAD///the bead	4
1860	BEAD///the beads	4
73	BEAK///beak	4
73	BEAK///the beak	6
73	BEAK///the beaks	6
1132	BEAM///beam	4
1132	BEAM///beam (in a house)	1
1132	BEAM///the beam	7
1132	BEAM///the beams	7
2574	BEAN OR PEA///beans/peas	1
2574	BEAN OR PEA///peas, beans	3
2574	BEAN OR PEA///peas/beans	1
2574	BEAN OR PEA///the bean or pea	5
2574	BEAN OR PEA///the bean or peas	5
832	BEAN///BEANS	1
832	BEAN///bean	11
832	BEAN///beans	1
832	BEAN///the bean	15
832	BEAN///the beans	15
1820	BEAR///bear	16
1820	BEAR///bear (Ursus)	1
1820	BEAR///bear (nn.)	1
1820	BEAR///bear (sb.)	1
1820	BEAR///the bear	21
1820	BEAR///the bears	21
678	BEARD///beard	21
678	BEARD///beard / mustache	1
678	BEARD///the beard	24
678	BEARD///the beards	24
2740	BEAT (CLASSIFIER)///beat (classifier) (classifier)	1
2740	BEAT (CLASSIFIER)///time (beat one time)	1
1665	BEAT///(he) hit him	1
1665	BEAT///beat	3
1665	BEAT///pound/beat	3
1665	BEAT///to beat	9
1665	BEAT///to beat, hit	1
1427	BEAUTIFUL///beautiful	8
1427	BEAUTIFUL///beautiful (adjective)	8
1194	BEAVER///Beaver	1
1194	BEAVER///the beaver	3
1194	BEAVER///the beavers	3
1157	BECAUSE///BECAUSE	3
1157	BECAUSE///because	42
2215	BECOME ANGRY///get angry	1
2215	BECOME ANGRY///to become angry	2
2215	BECOME ANGRY///to go mad	1
2209	BECOME EXTINGUISHED///to be extinguished (light)	1
2209	BECOME EXTINGUISHED///to become extinguished	1
2216	BECOME NUMB///to become numb	1
2216	BECOME NUMB///to grow numb	1
2210	BECOME PREPARED (OF FOOD)///to become prepared (of food)	1
2210	BECOME PREPARED (OF FOOD)///to become ready (of food)	1
2327	BECOME SICK///fall ill	1
2327	BECOME SICK///to become sick	1
2229	BECOME SOUR///to become sour	1
2229	BECOME SOUR///to turn sour	1
1990	BECOME///be, become	1
1990	BECOME///to become	4
1663	BED///Bed	1
1663	BED///bed	12
1663	BED///the bed	15
1663	BED///the beds	15
1949	BEDBUG///bedbug	2
1949	BEDBUG///the bedbug	2
1949	BEDBUG///the bedbugs	2
2505	BEDROOM///sleeping area	2
2505	BEDROOM///the bedroom	2
2505	BEDROOM///the bedrooms	2
665	BEE///BEE	2
665	BEE///bee	21
665	BEE///bee/honeybee	1
665	BEE///the bee	26
665	BEE///the bees	26
1950	BEECH///beech	4
1950	BEECH///the beech	6
1950	BEECH///the beechs	6
2570	BEEF///beef	1
2570	BEEF///the beef	1
2570	BEEF///the beefs	1
88	BEEHIVE///beehive	2
88	BEEHIVE///the beehive	4
88	BEEHIVE///the beehives	4
2251	BEER BANANA///beer bananas	1
2251	BEER BANANA///the beer banana	1
2251	BEER BANANA///the beer bananas	1
1639	BEER///beer	4
1639	BEER///the beer	6
1639	BEER///the beers	6
1931	BEESWAX///beeswax	2
1931	BEESWAX///the beeswax	6
1931	BEESWAX///the beeswaxs	6
1931	BEESWAX///wax	1
1931	BEESWAX///wax>>	1
2242	BEETLE///beetle	2
2242	BEETLE///the beetle	2
2242	BEETLE///the beetles	2
1882	BEFORE///before	12
1882	BEFORE///before — in front (adv.)	1
1882	BEFORE///before, in front of	1
1882	BEFORE///till	1
1152	BEGET///beget	1
1152	BEGET///beget (of father)	2
1152	BEGET///to beget	5
1934	BEGGAR///beggar	3
1934	BEGGAR///the beggar	5
1934	BEGGAR///the beggars	5
1806	BEGIN///begin	3
1806	BEGIN///begin, beginning	3
1806	BEGIN///start	2
1806	BEGIN///to begin	11
1806	BEGIN///to begin (tr.)	1
1557	BEGINNING///beginning	2
1557	BEGINNING///the beginning	4
1557	BEGINNING///the beginnings	4
1686	BEHIND///behind	6
2245	BELCH///belch	1
2245	BELCH///to belch	1
1890	BELIEVE///believe	3
1890	BELIEVE///believe, trust	1
1890	BELIEVE///believe; think2 (= be of the opin­ion)	1
1890	BELIEVE///believes	1
1890	BELIEVE///to believe	8
2246	BELL///bell	3
2246	BELL///the bell	3
2246	BELL///the bells	3
2114	BELLY OR STOMACH///belly, stomach	1
2114	BELLY OR STOMACH///belly/stomach	2
2114	BELLY OR STOMACH///stomach (belly, e.g. stomach is full)	1
2114	BELLY OR STOMACH///the belly or stomach	4
2114	BELLY OR STOMACH///the belly or stomachs	4
1251	BELLY///(its) belly	1
1251	BELLY///BELLY	5
1251	BELLY///Belly	5
1251	BELLY///abdomen	5
1251	BELLY///abdomen, belly	1
1251	BELLY///belly	102
1251	BELLY///belly (exterior)	2
1251	BELLY///belly (stomach)	1
1251	BELLY///belly (the outside part of human belly)	1
1251	BELLY///belly,stomach	1
1251	BELLY///the belly	126
1251	BELLY///the bellys	126
1485	BELOW OR UNDER///below	11
1485	BELOW OR UNDER///below or under	19
1485	BELOW OR UNDER///below — under	1
1485	BELOW OR UNDER///under	6
1485	BELOW OR UNDER///under, below	1
772	BELT///belt	1
772	BELT///belt, girdle	2
772	BELT///belt; girdle	1
772	BELT///the belt	6
772	BELT///the belts	6
2584	BENCH///Bench	1
2584	BENCH///the bench	1
2584	BENCH///the benchs	1
2761	BEND (ONESELF)///bend down	1
2761	BEND (ONESELF)///the bend (oneself)	1
2761	BEND (ONESELF)///the bend (oneself)s	1
2224	BEND (SOMETHING)///bend (trans. — twig)	1
2224	BEND (SOMETHING)///to bend (something)	1
2004	BEND///bend	5
2004	BEND///to bend	11
2004	BEND///to bend, bow (intr.)	1
904	BERRY///(fruit), berry	1
904	BERRY///berry	7
904	BERRY///berry (fruit)	1
904	BERRY///berry (or fruit)	1
904	BERRY///berry [see: fruit]	1
904	BERRY///the berry	11
904	BERRY///the berrys	11
1816	BESIDE///beside	3
2369	BETEL NUT///the betel nut	0
