ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Walker-2011-100-1	1	I	1209	I
Walker-2011-100-2	2	you	1213	YOU
Walker-2011-100-3	3	we	1212	WE
Walker-2011-100-4	4	this	1214	THIS
Walker-2011-100-5	5	that	78	THAT
Walker-2011-100-6	6	what?	1236	WHAT
Walker-2011-100-7	7	who?	1235	WHO
Walker-2011-100-8	8	not	1240	NOT
Walker-2011-100-9	9	all	98	ALL
Walker-2011-100-10	10	many	1198	MANY
Walker-2011-100-11	11	one	1493	ONE
Walker-2011-100-12	12	two	1498	TWO
Walker-2011-100-13	13	big	1202	BIG
Walker-2011-100-14	14	long	1203	LONG
Walker-2011-100-15	15	small	1246	SMALL
Walker-2011-100-16	16	woman	962	WOMAN
Walker-2011-100-17	17	man	1554	MAN
Walker-2011-100-18	18	child	2099	CHILD
Walker-2011-100-19	19	fish	227	FISH
Walker-2011-100-20	20	bird	937	BIRD
Walker-2011-100-21	21	dog	2009	DOG
Walker-2011-100-22	22	louse	1392	LOUSE
Walker-2011-100-23	23	tree	906	TREE
Walker-2011-100-24	24	seed	714	SEED
Walker-2011-100-25	25	leaf	628	LEAF
Walker-2011-100-26	26	root	670	ROOT
Walker-2011-100-27	27	bark of tree	1204	BARK
Walker-2011-100-28	28	skin	763	SKIN
Walker-2011-100-29	29	flesh/meat	2615	FLESH OR MEAT
Walker-2011-100-30	30	blood	946	BLOOD
Walker-2011-100-31	31	bone	1394	BONE
Walker-2011-100-32	32	egg	744	EGG
Walker-2011-100-33	33	fat/grease	323	FAT (ORGANIC SUBSTANCE)
Walker-2011-100-34	34	horn	1393	HORN (ANATOMY)
Walker-2011-100-35	35	tail	1220	TAIL
Walker-2011-100-36	36	feather	1201	FEATHER
Walker-2011-100-37	37	hair	1040	HAIR
Walker-2011-100-38	38	head	1256	HEAD
Walker-2011-100-39	39	ear	1247	EAR
Walker-2011-100-40	40	eye	1248	EYE
Walker-2011-100-41	41	nose	1221	NOSE
Walker-2011-100-42	42	mouth	674	MOUTH
Walker-2011-100-43	43	tooth	1380	TOOTH
Walker-2011-100-44	44	tongue	1205	TONGUE
Walker-2011-100-45	45	nail	1896	FINGERNAIL OR TOENAIL
Walker-2011-100-46	46	foot	1301	FOOT
Walker-2011-100-47	47	knee	1371	KNEE
Walker-2011-100-48	48	hand	1277	HAND
Walker-2011-100-49	49	belly	1251	BELLY
Walker-2011-100-50	50	neck	1333	NECK
Walker-2011-100-51	51	breast	1402	BREAST
Walker-2011-100-52	52	heart	1223	HEART
Walker-2011-100-53	53	liver	1224	LIVER
Walker-2011-100-54	54	to drink	1401	DRINK
Walker-2011-100-55	55	to eat	1336	EAT
Walker-2011-100-56	56	to bite	1403	BITE
Walker-2011-100-84	84	to burn	2102	BURN
Walker-2011-100-57	57	to see	1409	SEE
Walker-2011-100-58	58	to hear	1408	HEAR
Walker-2011-100-59	59	to know	1410	KNOW (SOMETHING)
Walker-2011-100-60	60	to sleep	1585	SLEEP
Walker-2011-100-61	61	to die	1494	DIE
Walker-2011-100-62	62	to kill	1417	KILL
Walker-2011-100-63	63	to swim	1439	SWIM
Walker-2011-100-64	64	to fly	1441	FLY (MOVE THROUGH AIR)
Walker-2011-100-65	65	to walk	1443	WALK
Walker-2011-100-66	66	to come	1446	COME
Walker-2011-100-67	67	to lie down	215	LIE DOWN
Walker-2011-100-68	68	to sit down	1649	SIT DOWN
Walker-2011-100-69	69	to stand up	570	STAND UP
Walker-2011-100-70	70	to give	1447	GIVE
Walker-2011-100-71	71	to say	1458	SAY
Walker-2011-100-72	72	sun	1343	SUN
Walker-2011-100-73	73	moon	1313	MOON
Walker-2011-100-74	74	star	1430	STAR
Walker-2011-100-75	75	water	948	WATER
Walker-2011-100-76	76	rain	658	RAIN (PRECIPITATION)
Walker-2011-100-77	77	stone	857	STONE
Walker-2011-100-78	78	sand	671	SAND
Walker-2011-100-79	79	ground/earth	2159	GROUND
Walker-2011-100-80	80	cloud	1489	CLOUD
Walker-2011-100-81	81	smoke	778	SMOKE (EXHAUST)
Walker-2011-100-82	82	fire	221	FIRE
Walker-2011-100-83	83	ash	646	ASH
Walker-2011-100-85	85	path/road	2457	PATH OR ROAD
Walker-2011-100-86	86	mountain	639	MOUNTAIN
Walker-2011-100-87	87	red	156	RED
Walker-2011-100-88	88	green	1425	GREEN
Walker-2011-100-89	89	yellow	1424	YELLOW
Walker-2011-100-90	90	white	1335	WHITE
Walker-2011-100-91	91	black	163	BLACK
Walker-2011-100-92	92	night	1233	NIGHT
Walker-2011-100-93	93	warm/hot	2272	HOT OR WARM
Walker-2011-100-94	94	cold	1287	COLD
Walker-2011-100-95	95	full	1429	FULL
Walker-2011-100-96	96	good	1035	GOOD
Walker-2011-100-97	97	new	1231	NEW
Walker-2011-100-98	98	round	1395	ROUND
Walker-2011-100-99	99	dry	1398	DRY
Walker-2011-100-100	100	name	1405	NAME
