ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	NORWEGIAN	NORWEGIAN_FREQUENCY	SWEDISH	SWEDISH_FREQUENCY	BORROWING	ANIMACY	MASS_NOUN	ABSTRACTNESS
Epps-2021-844-1	1	0	0	1294	ZERO	frimerke	3	frimärke	7	c	0	0	0
Epps-2021-844-2	2	24-HOUR PERIOD	24-HOUR PERIOD	1260	DAY (24 HOURS)	døgn, døger		dygn	57	c	0	0	1
Epps-2021-844-3	3	ADDRESS	ADDRESS	591	ADDRESS	adresse	18	adress	17	l	0	0	0
Epps-2021-844-4	4	ADULTERY	ADULTERY	902	ADULTERY	utruskap@	1	otrohet	4	l	0	x	1
Epps-2021-844-5	5	AFTERNOON	AFTERNOON 1 // AFTERNOON 2	1807	AFTERNOON	aftan, eftan	4	afton	16	c	0	0	1
Epps-2021-844-6	6	AGE	AGE	1789	AGE	epoke	9	epok	40	l	0	1	1
Epps-2021-844-7	7	AIR	AIR	27	AIR	luft	71	luft	114	l	0	1	0
Epps-2021-844-8	8	AIRPLANE	AIRPLANE	1597	AIRPLANE		80	flygplan	92	l	0	0	0
Epps-2021-844-9	9	ALLIGATOR	ALLIGATOR	1581	ALLIGATOR	alligator	0	alligator	0	l	1	0	0
Epps-2021-844-10	10	ALTAR	ALTAR	853	ALTAR	altar, alter	12	altare	11	l	0	0	0
Epps-2021-844-11	11	AMBUSH	AMBUSH	65	AMBUSH	bakhald	3	bakhåll	2	c	0	1	1
Epps-2021-844-12	12	ANCESTORS	ANCESTORS	1669	ANCESTORS	forfader	0	förfader	16	c	1	1	0
Epps-2021-844-13	13	ANCHOR	ANCHOR	1870	ANCHOR	anker	1	ankare	1	l	0	0	0
Epps-2021-844-14	14	ANGER	ANGER 1 // ANGER 2 // ANGER 3	82	ANGER	ilske	0	ilska	1	c	0	x	1
Epps-2021-844-15	15	ANIMAL	ANIMAL	619	ANIMAL	dyr	97	djur	100	c	1	0	0
Epps-2021-844-16	16	ANKLE	ANKLE	803	ANKLE	ankel; okle	0	ankel	0	c	0	0	0
Epps-2021-844-17	17	ANT	ANT	587	ANT	maur	12	myra	3	c	1	1	0
Epps-2021-844-18	18	ANVIL	ANVIL	1648	ANVIL	ste	0	städ	0	c	0	0	0
Epps-2021-844-19	19	ANXIETY	ANXIETY 1 // ANXIETY 2 // ANXIETY 3	1000	ANXIETY			ängslan@	10	c	0	x	1
Epps-2021-844-20	20	ARCH	ARCH 1 // ARCH 2	876	ARCH	kvelv	1	valv	15	c	0	0	0
Epps-2021-844-21	21	ARCTIC LIGHTS	ARCTIC LIGHTS 1 // ARCTIC LIGHTS 2	261	ARCTIC LIGHTS	nordlys	0	nordljus,norrljus	0	c	0	1	0
Epps-2021-844-22	22	ARM	ARM	1673	ARM	arm	109	arm	40	c	0	0	0
Epps-2021-844-23	23	ARMOUR	ARMOUR	1061	ARMOUR	rustning	1	rustning	8	l	0	1	0
Epps-2021-844-24	24	ARMPIT	ARMPIT	1886	ARMPIT	armhole	1	armhåla	1	c	0	0	0
Epps-2021-844-25	25	ARMY	ARMY 1 // ARMY 2	1561	ARMY	armé	1	armé	62	l	0	1	0
Epps-2021-844-26	26	ARROW	ARROW	977	ARROW	pil	2	pil	5	c	0	0	0
Epps-2021-844-27	27	ARSON	ARSON	1889	ARSON	mordbrann	53	mordbrand	15	c	0	x	0
Epps-2021-844-28	28	ASH	ASH	646	ASH	oske	12	aska	2	c	0	1	0
Epps-2021-844-29	29	ATTACK	ATTACK 1 // ATTACK 2	722	ATTACK	anfall	1	anfall	31	l	0	1	0
Epps-2021-844-30	30	AUCTION	AUCTION			auksjon		auktion		l	0	0	1
Epps-2021-844-31	31	AUTUMN/FALL	AUTUMN/FALL	1280	FALL	haust	309	höst	196	c	0	1	1
Epps-2021-844-32	32	AWL	AWL	278	AWL	syl	0	syl	0	c	0	0	0
Epps-2021-844-33	33	AXE/AX	AXE/AX	677	AXE	øks	6	yxa	5	c	0	0	0
Epps-2021-844-34	34	AXLE	AXLE	1769	AXLE	aksel	0	axel	22	c	0	0	0
Epps-2021-844-35	35	BACK	BACK	1291	BACK	rygg	102	rygg	45	c	0	0	0
Epps-2021-844-36	36	BACK OF HAND	BACK OF HAND					handbak	0	c	0	0	0
Epps-2021-844-37	37	BAD LUCK	BAD LUCK 1 // BAD LUCK 2	56	BAD LUCK	uheppe	0			c	0	x	1
Epps-2021-844-38	38	BAG	BAG 1 // BAG 2	2468	BAG	pose	10	påse	8	c	0	0	0
Epps-2021-844-39	39	BAIT	BAIT	2013	BAIT	beite	27	bete	5	c	0	0	0
Epps-2021-844-40	40	BAKERY	BAKERY			bakeri		bageri		l	0	0	0
Epps-2021-844-41	41	BALL	BALL 1 // BALL 2	1845	BALL	ball	44	boll	8	c	0	0	0
Epps-2021-844-42	42	BANANA	BANANA	868	BANANA	banan	4	banan	11	l	0	1	0
Epps-2021-844-43	43	BANK	BANK	1284	BANK	bank	90	bank	58	l	0	0	0
Epps-2021-844-44	44	BARK	BARK	1204	BARK	bork	2	bark	4	c	0	1	0
Epps-2021-844-45	45	BARLEY	BARLEY	932	BARLEY	korn	31	korn	21	c	0	1	0
Epps-2021-844-46	46	BASKET	BASKET 1 // BASKET 2 // BASKET 3	1539	BASKET	skrukke	3	skruck	0	c	0	0	0
Epps-2021-844-47	47	BAT	BAT 1 // BAT 2	1793	BAT	flaggermus	1	fladdermus	1	c	1	1	0
Epps-2021-844-48	48	BATTERY	BATTERY	662	BATTERY	batteri	3	batteri	7	l	0	0	0
Epps-2021-844-49	49	BAY	BAY 1 // BAY 2	663	BAY	vik	10	vik	16	c	0	0	0
Epps-2021-844-50	50	BEAD	BEAD	1860	BEAD	perle	6	pärla	10	l	0	0	0
Epps-2021-844-51	51	BEAK	BEAK	73	BEAK	nebb	2	näbb	3	l	0	0	0
Epps-2021-844-52	52	BEAM	BEAM 1 // BEAM 2	1132	BEAM	bom	18	bom	4	l	0	0	0
Epps-2021-844-53	53	BEAN	BEAN	832	BEAN	bønne	0	böna	10	c	0	0	0
Epps-2021-844-54	54	BEAR	BEAR	1820	BEAR	bjørn	6	björn	7	c	1	0	0
Epps-2021-844-55	55	BEARD	BEARD	678	BEARD	skjegg	12	skägg	16	c	0	0	0
Epps-2021-844-56	56	BEAUTY	BEAUTY			skjønnheit		skönhet		l	0	1	1
Epps-2021-844-57	57	BEAVER	BEAVER 1 // BEAVER 2	1194	BEAVER	bjor	0	bjur	0	l	1	0	0
Epps-2021-844-58	58	BED	BED	1663	BED	seng	98	säng	48	c	0	0	0
Epps-2021-844-59	59	BEE	BEE 1 // BEE 2	665	BEE	bie	0	bi	7	c	1	1	0
Epps-2021-844-60	60	BEECH	BEECH	1950	BEECH	bok	0	bok	5	c	0	1	0
Epps-2021-844-61	61	BEEHIVE	BEEHIVE 1 // BEEHIVE 2	88	BEEHIVE	kupe	0	bikupa	2	l	0	0	0
Epps-2021-844-62	62	BEER	BEER 1 // BEER 2	1639	BEER	øl	56	öl	54	c	0	1	0
Epps-2021-844-63	63	BEESWAX	BEESWAX	1931	BEESWAX	voks	0	bivax	6	c	0	1	0
Epps-2021-844-64	64	BEETLE	BEETLE	2242	BEETLE	tordivel	3	tordyvel	0	l	1	0	0
Epps-2021-844-65	65	BEGGAR	BEGGAR	1934	BEGGAR	tiggar	0	tiggare	1	c	1	0	0
Epps-2021-844-66	66	BEGINNING	BEGINNING	1557	BEGINNING	byrjing	49	början	347	c	0	0	1
Epps-2021-844-67	67	BELLY	BELLY 1 // BELLY 2	1251	BELLY	mage	36	mage	12	c	0	0	0
Epps-2021-844-68	68	BELT	BELT	772	BELT	belte	3	bälte	9	l	0	0	0
Epps-2021-844-69	69	BICYCLE	BICYCLE	747	BICYCLE	sykkel	92	cykel	18	l	0	0	0
Epps-2021-844-70	70	BILL	BILL	1081	BILL	rekning	32	räkning	36	l	0	0	0
Epps-2021-844-71	71	BIRCH	BIRCH	1855	BIRCH	bjørk	10	björk	6	c	0	1	0
Epps-2021-844-72	72	BIRCH BARK	BIRCH BARK			never	2	näver	0	c	0	1	0
Epps-2021-844-73	73	BIRD	BIRD	937	BIRD	fugl	34	fågel	75	c	1	1	0
Epps-2021-844-74	74	BIRTH CERTIFICATE	BIRTH CERTIFICATE 1 // BIRTH CERTIFICATE 2					personbevis,födelsebevis n	68	l	0	0	0
Epps-2021-844-75	75	BLACKSMITH	BLACKSMITH	1001	BLACKSMITH	smed	7	smed	3	c	1	0	0
Epps-2021-844-76	76	BLAME	BLAME	381	BLAME	skuld, skyld	114	skuld	183	c	0	x	1
Epps-2021-844-77	77	BLANKET/FELT	BLANKET/FELT	806	BLANKET	filt	0	filt	6	l	0	0	0
Epps-2021-844-78	78	BLISTER	BLISTER 1 // BLISTER 2 // BLISTER 3	1584	BLISTER	blåse	3	blåsa	0	c	0	0	0
Epps-2021-844-79	79	BLOOD	BLOOD	946	BLOOD	blod	48	blod	35	c	0	0	0
Epps-2021-844-80	80	BOAR	BOAR	1348	BOAR (MALE PIG)	galt, galte	0	galt	1	c	1	0	0
Epps-2021-844-81	81	BOARD	BOARD	1227	BOARD	brett	8	bräde	1	l	0	0	0
Epps-2021-844-82	82	BOAT	BOAT	1844	BOAT	båt	248	båt	101	l	0	0	0
Epps-2021-844-83	83	BODY	BODY	1480	BODY	kropp	101	kropp	70	c	0	0	0
Epps-2021-844-84	84	BOIL	BOIL	2493	BOIL	byll, bolde	2	böld	3	c	0	0	0
Epps-2021-844-85	85	BOMB	BOMB	1804	BOMB	bombe	17	bomb	25	l	0	0	0
Epps-2021-844-86	86	BONE	BONE	1394	BONE	bein	70	ben	44	c	0	0	0
Epps-2021-844-87	87	BOOK	BOOK	963	BOOK	bok	674	bok	876	c	0	0	0
Epps-2021-844-88	88	BOOMERANG	BOOMERANG	135	BOOMERANG	bumerang	0	bumerang	3	l	0	0	0
Epps-2021-844-89	89	BOOT	BOOT	585	BOOT	støvel	5	stövel	11	l	0	0	0
Epps-2021-844-90	90	BOOTY	BOOTY	1022	BOOTY	bytte	4	byte	11	l	0	1	0
Epps-2021-844-91	91	BOTTLE	BOTTLE 1 // BOTTLE 2	1321	BOTTLE	flaske	30	flaska	40	c	0	0	0
Epps-2021-844-92	92	BOTTOM	BOTTOM	690	BOTTOM	botn	55	botten	50	c	0	0	0
Epps-2021-844-93	93	BOUNDARY	BOUNDARY 1 // BOUNDARY 2	1010	BOUNDARY	rå	250	rå	0	c	0	0	0
Epps-2021-844-94	94	BOW	BOW	994	BOW	boge	11	båge	7	c	0	0	0
Epps-2021-844-95	95	BOWL	BOWL 1 // BOWL 2 // BOWL 3 // BOWL 4	1530	BOWL	skål	10	skål	17	c	0	0	0
Epps-2021-844-96	96	BOX ON THE EAR	BOX ON THE EAR 1			øyrefik	1	örfil	10	l	0	x	0
Epps-2021-844-97	97	BRACELET	BRACELET	1754	BRACELET	armband	52	armband	1	c	0	0	0
Epps-2021-844-98	98	BRAIN	BRAIN	1583	BRAIN	hjerne	8	hjärna	36	c	0	0	0
Epps-2021-844-99	99	BRANCH	BRANCH 1 // BRANCH 2	1531	BRANCH	grein	33	gren	20	c	0	0	0
Epps-2021-844-100	100	BREAD	BREAD	1368	BREAD	brød	46	bröd	33	c	0	0	0
Epps-2021-844-101	101	BREAKFAST	BREAKFAST	1322	BREAKFAST	frukost	13	frukost	6	l	0	1	0
Epps-2021-844-102	102	BRICK	BRICK	1006	BRICK	tegl	0	tegel	21	l	0	0	0
Epps-2021-844-103	103	BRIDGE	BRIDGE	1011	BRIDGE	bru	87	bro	32	c	0	0	0
Epps-2021-844-104	104	BROOM	BROOM	245	BROOM	lime	1	limme	0	c	0	0	0
Epps-2021-844-105	105	BRUISE	BRUISE	1148	BRUISE	skramme	2	skråma,skramma	1	c	0	0	0
Epps-2021-844-106	106	BRUSH	BRUSH 1 // BRUSH 2	1821	BRUSH	kost	20	kvast&	2	c	0	0	0
Epps-2021-844-107	107	BULL	BULL	1008	BULL	tyr	2	tjur	28	c	1	1	0
Epps-2021-844-108	108	BUNCH	BUNCH 1 // BUNCH 2 // BUNCH 3 // BUNCH 4 // BUNCH 5 // BUNCH 6	1966	BUNCH	kongel	0	kangel	0	c	0	1	0
Epps-2021-844-109	109	BUS	BUS	1070	BUS	buss	125	buss	39	l	0	0	0
Epps-2021-844-110	110	BUTTER	BUTTER	1245	BUTTER	smør	19	smör	18	c	0	1	0
Epps-2021-844-111	111	BUTTERFLY	BUTTERFLY	1791	BUTTERFLY	fivreld	0	fjäril	4	c	1	0	0
Epps-2021-844-112	112	BUTTOCKS	BUTTOCKS	834	BUTTOCKS	rauv	0	röv	0	c	0	0	0
Epps-2021-844-113	113	BUTTOCKS/TAIL	BUTTOCKS/TAIL	1220	TAIL	rumpe	1	rumpa	0	c	0	0	0
Epps-2021-844-114	114	BUTTON	BUTTON	757	BUTTON	knapp	6	knapp	12	c	0	0	0
Epps-2021-844-115	115	CALENDAR	CALENDAR 1 // CALENDAR 2	1967	CALENDAR	almanakk	2	almanacka	0	l	0	0	0
Epps-2021-844-116	116	CALF	CALF	1989	CALF	kalv	31	kalv	4	c	1	0	0
Epps-2021-844-117	117	CALF OF THE LEG	CALF OF THE LEG	498	CALF OF LEG			vad	1	l	0	0	0
Epps-2021-844-118	118	CAMP	CAMP 1 // CAMP 2	1105	CAMP	bose	0	bås	1	c	0	1	0
Epps-2021-844-119	119	CANDY/SWEETS	CANDY/SWEETS	874	CANDY	godteri@	0	godis	1		0	0	0
Epps-2021-844-120	120	CANOE	CANOE	1970	CANOE	kano	1	kanot	0	l	0	0	0
Epps-2021-844-121	121	CAPTIVE OR PRISONER	CAPTIVE OR PRISONER	1072	PRISONER	fange	34	fånge	34	l	1	0	0
Epps-2021-844-122	122	CAR	CAR	1111	CAR	bil	356	bil	312	l	0	0	0
Epps-2021-844-123	123	CARCASS	CARCASS 1 // CARCASS 2 // CARCASS 3	1770	CARCASS	åtsel	0				0	0	0
Epps-2021-844-124	124	CARPENTER	CARPENTER	1042	CARPENTER	snikkar	9	snickare	2	l	1	0	0
Epps-2021-844-125	125	CART OR WAGON	CART OR WAGON 1 // CART OR WAGON 2	122	CART	vogn	29	vagn	41	c	0	0	0
Epps-2021-844-126	126	CAT	CAT	1208	CAT	katt, katte	32	katt	34	c	1	0	0
Epps-2021-844-127	127	CATTLE	CATTLE	1153	CATTLE	krek	1	krak&	0	l	1	1	0
Epps-2021-844-128	128	CATTLE FARMER	CATTLE FARMER					uppfödare		c	1	9	0
Epps-2021-844-129	129	CAUSE	CAUSE 1 // CAUSE 2 // CAUSE 3	860	CAUSE			anledning,orsak	242	l	0	0	1
Epps-2021-844-130	130	CAVE	CAVE 1 // CAVE 2	1155	CAVE	grotte	0	grotta	11	l	0	0	0
Epps-2021-844-131	131	CELERY	CELERY	3727	CELERY	selleri		selleri		l	0	0	0
Epps-2021-844-132	132	CENTIPEDE	CENTIPEDE	1974	CENTIPEDE			tusenfoting	0	l	1	0	0
Epps-2021-844-133	133	CHAIN	CHAIN	1627	CHAIN	kjede	2	kedja	15	l	0	0	0
Epps-2021-844-134	134	CHAIR	CHAIR	1476	CHAIR	stol	70	stol	41	c	0	0	0
Epps-2021-844-135	135	CHARCOAL	CHARCOAL	1188	CHARCOAL	kol	0	träkol, kol	1	c	0	1	0
Epps-2021-844-136	136	CHEEK	CHEEK	1730	CHEEK	kinn	25	kind	5	c	0	0	0
Epps-2021-844-137	137	CHEESE	CHEESE	1569	CHEESE	ost	11	ost	8	c	0	1	0
Epps-2021-844-138	138	CHEST	CHEST	1592	CHEST	bryst	36	bröst	20	c	0	0	0
Epps-2021-844-139	139	CHICKEN	CHICKEN	1318	CHICKEN	kjukling	0	kyckling	3	c	1	1	0
Epps-2021-844-140	140	CHILD	CHILD	2099	CHILD	barn	513	barn	518	c	1	0	0
Epps-2021-844-141	141	CHILDHOOD	CHILDHOOD			barndom		barndom		c	0	1	1
Epps-2021-844-142	142	CHIMNEY	CHIMNEY 1 // CHIMNEY 2	1305	CHIMNEY	skorstein	2	skorsten	4	l	0	0	0
Epps-2021-844-143	143	CHIN	CHIN	1510	CHIN	hake	14	haka	2	c	0	0	0
Epps-2021-844-144	144	CHISEL	CHISEL	1979	CHISEL	meisel	0	mejsel	1	l	0	0	0
Epps-2021-844-145	145	CHURCH	CHURCH	1349	CHURCH	kyrkje	309	kyrka	307	l	0	0	0
Epps-2021-844-146	146	CHURN-STAFF	CHURN-STAFF			tverel	0	törel	0	c	0	1	0
Epps-2021-844-147	147	CIGARETTE	CIGARETTE	969	CIGARETTE	sigarett	8	cigarett	19	l	0	0	0
Epps-2021-844-148	148	CIRCLE	CIRCLE 1 // CIRCLE 2	1467	CIRCLE	sirkel	9	cirkel	41	l	0	0	0
Epps-2021-844-149	149	CITIZEN	CITIZEN 1 // CITIZEN 2	1032	CITIZEN	statsborgar	6	medborgare	62	l	1	0	0
Epps-2021-844-150	150	CLAW	CLAW	72	CLAW	klo	2	klo	3	c	0	0	0
Epps-2021-844-151	151	CLAY/MUD	CLAY/MUD	640	MUD	leire	38	lera	7	c	0	1	0
Epps-2021-844-152	152	CLIFF	CLIFF 1 // CLIFF 2	992	CLIFF	klippe	0	klippa	15	l	0	1	0
Epps-2021-844-153	153	CLOAK	CLOAK	326	CLOAK	mantel	0	mantel	7	l	0	0	0
Epps-2021-844-154	154	CLOCK	CLOCK	1323	CLOCK	klokke	123	klocka	64	l	0	0	0
Epps-2021-844-155	155	CLOTH	CLOTH	1616	CLOTH	tøy	4	tyg	34	l	0	0	0
Epps-2021-844-156	156	CLOTHING OR CLOTHES	CLOTHING OR CLOTHES	1895	CLOTHES	klede	90	kläde&	0	l	0	0	0
Epps-2021-844-157	157	CLOUD	CLOUD	1489	CLOUD	mol	0	moln	13	c	0	1	0
Epps-2021-844-158	158	CLUB	CLUB	1763	CLUB	klubbe	3	klubba	5	c	0	0	0
Epps-2021-844-159	159	COAT	COAT 1 // COAT 2	603	COAT	kappe	10	kappa	43	l	0	0	0
Epps-2021-844-160	160	COCKROACH	COCKROACH	1575	COCKROACH	kakerlakk	0	kackerlacka	0	l	1	1	0
Epps-2021-844-161	161	COD	COD					torsk	7	c	1	1	0
Epps-2021-844-162	162	COFFEE	COFFEE	1299	COFFEE	kaffi	108	kaffe	47	l	0	1	0
Epps-2021-844-163	163	COIN	COIN 1 // COIN 2 // COIN 3	1867	COIN	skilling	14	skilling	0	l	0	1	0
Epps-2021-844-164	164	COLD	COLD 1 // COLD 2	1287	COLD	krim	1			c	0	1	0
Epps-2021-844-165	165	COLLAR	COLLAR	2012	COLLAR	krage	4	krage	12	l	0	0	0
Epps-2021-844-166	166	COMB	COMB	1475	COMB	kam	0	kam	7	c	0	0	0
Epps-2021-844-167	167	COMBINE	COMBINE										x
Epps-2021-844-168	168	HARVESTER	HARVESTER			skurtreskar	3	skördetröska f	1	c	0	0	0
Epps-2021-844-169	169	COMPANY	COMPANY			selskap		sällskap		l	0	1	1
Epps-2021-844-170	170	COMPUTER	COMPUTER	3086	COMPUTER	datamaskin				l	0	0	0
Epps-2021-844-171	171	CONE	CONE 1 // CONE 2	287	CONE	kjegle	1	kägla	3	l	0	0	0
Epps-2021-844-172	172	COPPER	COPPER	1825	COPPER	kopar	4	koppar	16	l	0	0	0
Epps-2021-844-173	173	CORMORANT	CORMORANT	840	CORMORANT	skarv	2	skarv	3	c	1	0	0
Epps-2021-844-174	174	CORNER	CORNER 1 // CORNER 2	192	CORNER	hjørne, hyrne	27	hörn	55	c	0	0	0
Epps-2021-844-175	175	CORPSE	CORPSE	767	CORPSE	lik	8	lik	10	c	0	0	0
Epps-2021-844-176	176	COTTON	COTTON	1850	COTTON	bomull	6	bomull	5	l	0	1	0
Epps-2021-844-177	177	COUNTENANCE	COUNTENANCE			andlet		anlete	2	c	0	0	0
Epps-2021-844-178	178	COUNTRY	COUNTRY	1300	COUNTRY	landskap		landskap		c	0	0	1
Epps-2021-844-179	179	COURT	COURT 1 // COURT 2 // COURT 3	1068	COURT	domstol	7	domstol	65	c	0	0	0
Epps-2021-844-180	180	COUSIN	COUSIN 1	1643	COUSIN			kusin	11	l	1	0	0
Epps-2021-844-181	181	COW	COW	1007	COW	ku	60	ko	15	c	1	1	0
Epps-2021-844-182	182	CRIME	CRIME 1 // CRIME 2	1066	CRIME	brot, brott	34	brott	47	c	0	0	1
Epps-2021-844-183	183	CROCODILE	CROCODILE	1857	CROCODILE	krokodille	1	krokodil	1	l	1	0	0
Epps-2021-844-184	184	CROSS	CROSS 1 // CROSS 2	574	TRANSIT	kors	0	kors	23	l	0	0	0
Epps-2021-844-185	185	CROW	CROW	913	CROW	kråke	11	kråka	5	c	1	1	0
Epps-2021-844-186	186	CROWD	CROWD	2023	CROWD	folkehop	40	folkhop	6	l	0	1	0
Epps-2021-844-187	187	CUP	CUP	476	CUP	bekar	0	bägare	4	l	0	0	0
Epps-2021-844-188	188	CUSTOM	CUSTOM 1 // CUSTOM 2	1747	CUSTOM	sed	3	sed	16	c	0	1	0
Epps-2021-844-189	189	DAIRY	DAIRY			meieri		mejeri		l	0	0	0
Epps-2021-844-190	190	DANDRUFF	DANDRUFF 1 // DANDRUFF 2	576	DANDRUFF	flas, flass	0	flas	0	c	0	1	0
Epps-2021-844-191	191	DANGER	DANGER 1 // DANGER 2 // DANGER 3	1810	DANGER			farlighet	5	l	0	x	1
Epps-2021-844-192	192	DARKNESS	DARKNESS	11	DARKNESS	mørke,mørker	43	mörker	37	c	0	1	0
Epps-2021-844-193	193	DAWN	DAWN 1 // DAWN 2 // DAWN 3	729	DAWN	lysing,lysning	12	lysning	1	c	0	0	1
Epps-2021-844-194	194	DAY	DAY	1225	DAY (NOT NIGHT)	dag	2179	dag	1454	c	0	0	1
Epps-2021-844-195	195	DEBRIS	DEBRIS 1 // DEBRIS 2 // DEBRIS 3 // DEBRIS 4			rat	0	rat	0	c	0	0	0
Epps-2021-844-196	196	DEBT	DEBT	1914	DEBT	skuld	114	skuld	62	c	0	0	1
Epps-2021-844-197	197	DECEIT	DECEIT 1 // DECEIT 2 // DECEIT 3	13	DECEIT	svik	8	svek	4	c	0	x	1
Epps-2021-844-198	198	DEER	DEER 1 // DEER 2	1936	DEER	rådyr	2	rådjur	8	c	1	0	0
Epps-2021-844-199	199	DEFEAT	DEFEAT 1 // DEFEAT 2	782	DEFEAT	nederlag	17	nederlag	30	l	0	1	1
Epps-2021-844-200	200	DEFENDANT	DEFENDANT	1034	DEFENDANT			svarande	1	c	1	0	0
Epps-2021-844-201	201	DEMON	DEMON 1 // DEMON 2 // DEMON 3	1973	DEMON	demon	3	demon	3	l	1	0	1
Epps-2021-844-202	202	DESCENDANTS	DESCENDANTS	490	DESCENDANTS	ætling	0	ättlingar	6	c	1	0	0
Epps-2021-844-203	203	DEW	DEW	1977	DEW	dogg	3	dagg	1	c	0	1	0
Epps-2021-844-204	204	DEVIL (SMALL)	DEVIL (SMALL)	3917	DEVIL	puke	0	puke	0	c	0	1	1
Epps-2021-844-205	205	DIFFERENCE	DIFFERENCE			skilnad	100	skillnad	148	c	0	x	1
Epps-2021-844-206	206	DINNER/MIDDAY	DINNER/MIDDAY	12	MIDDAY	middag	39	middag	36	c	0	1	0
Epps-2021-844-207	207	DIRECTION	DIRECTION	3427	DIRECTION	strekk	3	väderstreck	3	c	0	x	1
Epps-2021-844-208	208	DISAGREEMENT	DISAGREEMENT					delo	0	c	0	0	1
Epps-2021-844-209	209	DISCUSSION	DISCUSSION			diskusjon		diskussion		l	0	0	1
Epps-2021-844-210	210	DISEASE	DISEASE 1 // DISEASE 2 // DISEASE 3	1986	DISEASE	sjuke	0	sjuka	2	c	0	1	0
Epps-2021-844-211	211	DISH	DISH	481	DISH	fat	13	fat	8	c	0	0	0
Epps-2021-844-212	212	DISTINCTION	DISTINCTION			utmerking		utmärkelse		c	0	0	1
Epps-2021-844-213	213	DITCH	DITCH	2002	DITCH	dike	3	dike	10	c	0	0	0
Epps-2021-844-214	214	DOG	DOG 1 // DOG 2	2009	DOG	hund	54	hund	95	c	1	0	0
Epps-2021-844-215	215	DONKEY	DONKEY	1862	DONKEY	esel	6	åsna	10	l	1	0	0
Epps-2021-844-216	216	DOOR	DOOR	1567	DOOR	dør	217	dörr	116	c	0	0	0
Epps-2021-844-217	217	DOORPOST/POST	DOORPOST/POST	281	POST	post	81	dörrpost	1	l	0	0	0
Epps-2021-844-218	218	DOUBT	DOUBT 1 // DOUBT 2 // DOUBT 3	1308	DOUBT	tvil	123	tvivel	76	l	0	x	1
Epps-2021-844-219	219	DOUGH	DOUGH	273	DOUGH	deig	0	deg	2	c	0	1	0
Epps-2021-844-220	220	DOVE	DOVE	1853	DOVE	due	0	duva	6	c	1	1	0
Epps-2021-844-221	221	DRINK	DRINK 1 // DRINK 2	731	BEVERAGE	drikk, drykk	3	dryck	15	c	0	1	0
Epps-2021-844-222	222	DRIVER'S LICENSE	DRIVER'S LICENSE	599	DRIVER'S LICENSE	førarkort	12	körkort	12	l	0	0	0
Epps-2021-844-223	223	DRUM	DRUM	908	DRUM	tromme	18	trumma	10	l	0	0	0
Epps-2021-844-224	224	DRUNKENNESS	DRUNKENNESS			fyll		fylleri@		c	0	1	1
Epps-2021-844-225	225	DUCK	DUCK 1 // DUCK 2	1360	DUCK	and	4	and	7	c	1	0	0
Epps-2021-844-226	226	DUST	DUST 1 // DUST 2	2	DUST			damm	7	l	0	1	0
Epps-2021-844-227	227	EAGLE	EAGLE	1905	EAGLE	ørn	1	örn	7	c	1	0	0
Epps-2021-844-228	228	EAR	EAR	1247	EAR	øyre, øyra	64	öra	48	c	0	0	0
Epps-2021-844-229	229	EARLOBE	EARLOBE	18	EARLOBE	øyresnipp	0	öronsnibb,örsnibb	1	l	0	0	0
Epps-2021-844-230	230	EARRING/HANGER	EARRING/HANGER	770	EARRING	henge	0	örhänge	1	c	0	0	0
Epps-2021-844-231	231	EARRING/PLUG	EARRING/PLUG			øyredobb	0	dubb&	2	c	0	0	0
Epps-2021-844-232	232	EARTHQUAKE	EARTHQUAKE 1 // EARTHQUAKE 2	6	EARTHQUAKE			jordbävning	3	c	0	1	0
Epps-2021-844-233	233	EARWAX	EARWAX	32	EARWAX	øyrevoks	0	öronvax	6	c	0	1	0
Epps-2021-844-234	234	EDGE	EDGE	863	EDGE	kant	92	kant	27	l	0	0	0
Epps-2021-844-235	235	EEL	EEL	1013	FRESHWATER EEL	ål	13	ål	1	c	1	0	0
Epps-2021-844-236	236	EGG	EGG	744	EGG	egg	2	ägg	31	c	0	0	0
