ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	RUSSIAN	ENGLISH
Yakhontov-1991-35-1	946	BLOOD	9	кровь	blood
Yakhontov-1991-35-2	1394	BONE	10	кость	bone
Yakhontov-1991-35-3	1494	DIE	17	умереть	die
Yakhontov-1991-35-4	2009	DOG	18	собака	dog
Yakhontov-1991-35-5	1247	EAR	21	ухо	ear
Yakhontov-1991-35-6	744	EGG	24	яйцо	egg
Yakhontov-1991-35-7	1248	EYE	25	глаз	eye
Yakhontov-1991-35-8	221	FIRE	28	огонь	fire
Yakhontov-1991-35-9	227	FISH	29	рыба	fish
Yakhontov-1991-35-10	1429	FULL	32	полный	full
Yakhontov-1991-35-11	1447	GIVE	33	дать	give
Yakhontov-1991-35-12	1277	HAND	37	рука	hand
Yakhontov-1991-35-13	1393	HORN (ANATOMY)	41	рог	horn
Yakhontov-1991-35-14	1209	I	42	я	I
Yakhontov-1991-35-15	1410	KNOW (SOMETHING)	45	знать	know
Yakhontov-1991-35-16	1392	LOUSE	50	вошь	louse
Yakhontov-1991-35-17	1313	MOON	54	луна	moon
Yakhontov-1991-35-18	1405	NAME	57	имя	name
Yakhontov-1991-35-19	1231	NEW	59	новый	new
Yakhontov-1991-35-20	1221	NOSE	61	нос	nose
Yakhontov-1991-35-21	1493	ONE	63	один	one
Yakhontov-1991-35-22	857	STONE	81	камень	stone
Yakhontov-1991-35-23	1343	SUN	82	солнце	sun
Yakhontov-1991-35-24	1220	TAIL	84	хвост	tail
Yakhontov-1991-35-25	1214	THIS	86	этот	this
Yakhontov-1991-35-26	1215	THOU	87	ты	thou
Yakhontov-1991-35-27	1205	TONGUE	88	язык	tongue
Yakhontov-1991-35-28	1380	TOOTH	89	зуб	tooth
Yakhontov-1991-35-29	1498	TWO	91	два	two
Yakhontov-1991-35-30	948	WATER	94	вода	water
Yakhontov-1991-35-31	1236	WHAT	96	что	what
Yakhontov-1991-35-32	1235	WHO	98	кто	who
Yakhontov-1991-35-33	1274	SALT	104	соль	salt
Yakhontov-1991-35-34	960	WIND	108	ветер	wind
Yakhontov-1991-35-35	1226	YEAR	110	год	year
