ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	HINDI	NAMEABILITY	H_VALUE	NAME_AGREEMENT	IMAGE_AGREEMENT	FAMILIARITY	VISUAL_COMPLEXITY	AOA_HINDI	FREQUENCY_LOG	PHONEMES_NUMBER	ALPHA_SYLLABLES_NUMBER	SYLLABLES_NUMBER	LATENCY_MS
Ramanujan-2019-158-1	1	airplane	1597	AIRPLANE	हवाई जहाज (havai jahaj)	0.98	0.64	0.88	4.83	4.78	2.25	3.47	2.42	8.00	6.00	5.00	1213.24
Ramanujan-2019-158-2	2	alligator	1581	ALLIGATOR	मगरमच्छ (magarmachh)	0.98	0.00	1.00	4.83	4.71	2.12	3.91	2.10	6.00	6.00	4.00	1238.17
Ramanujan-2019-158-3	3	anchor	1870	ANCHOR	लंगर (langar)	0.27	0.00	1.00	4.75	4.00	2.20	6.27	0.56	4.00	3.00	2.00	--
Ramanujan-2019-158-4	4	ant	587	ANT	चीटी (cheenti)	0.97	0.00	1.00	4.61	4.86	4.61	2.96	0.28	4.00	2.00	2.00	1264.92
Ramanujan-2019-158-5	5	apple	1320	APPLE	सेब (seb)	0.98	0.00	1.00	4.59	4.97	1.66	3.05	0.55	3.00	2.00	1.00	995.70
Ramanujan-2019-158-6	6	axe	677	AXE	कु ल्हाडी (kulhadi)	0.92	0.00	1.00	4.87	4.83	1.61	4.71	0.47	7.00	4.00	3.00	--
Ramanujan-2019-158-7	7	ball	1845	BALL	गेंद (gend)	0.88	0.08	0.98	4.35	4.73	2.15	2.78	1.60	4.00	3.00	1.00	--
Ramanujan-2019-158-8	8	balloon	3083	BALLOON	गुब्बारा (gubbara)	1.00	0.00	1.00	4.90	4.98	1.53	3.05	0.21	7.00	4.00	3.00	1062.81
Ramanujan-2019-158-9	9	banana	868	BANANA	केला (kela)	1.00	0.00	1.00	4.85	4.90	1.59	3.22	0.42	4.00	2.00	2.00	969.50
Ramanujan-2019-158-10	10	basket	1539	BASKET	टोकरी (tokri)	0.98	1.06	0.74	4.60	4.69	2.20	4.26	0.71	5.00	3.00	2.00	--
Ramanujan-2019-158-11	11	bear	1820	BEAR	भालू (bhaloo)	0.98	0.08	0.98	4.65	4.58	4.65	4.32	0.63	4.00	2.00	2.00	1010.33
Ramanujan-2019-158-12	12	bed	1663	BED	बबस्तर (bistar)	0.93	1.08	0.60	4.72	4.88	1.97	3.59	1.13	5.00	4.00	2.00	1186.73
Ramanujan-2019-158-13	13	bee	665	BEE	मधुमक्खी (madhumakkhi)	0.29	0.00	1.00	4.12	4.76	2.54	4.06	0.30	7.00	5.00	4.00	--
Ramanujan-2019-158-14	14	beetle	2242	BEETLE	बिलचट्टा (tilchatta)	0.54	1.77	0.44	3.93	4.39	3.93	5.64	--	7.00	5.00	3.00	--
Ramanujan-2019-158-15	15	bell	2246	BELL	घंटी (ghanti)	1.00	0.00	1.00	4.83	4.90	4.83	3.92	0.86	4.00	2.00	2.00	970.08
Ramanujan-2019-158-16	16	bicycle	747	BICYCLE	साइबकल (saikil)	0.83	0.00	1.00	4.86	4.93	2.25	4.21	1.42	6.00	4.00	2.00	--
Ramanujan-2019-158-17	17	bird	937	BIRD	बचबडया (chidiya)	0.98	0.98	0.78	4.71	4.81	4.71	3.18	0.92	6.00	3.00	3.00	1090.16
Ramanujan-2019-158-18	18	book	963	BOOK	बकिाब (kitaab)	1.00	0.47	0.90	4.91	4.95	1.80	3.55	1.50	5.00	3.00	2.00	937.90
Ramanujan-2019-158-19	19	bottle	1321	BOTTLE	बोिल (botal)	0.98	0.36	0.93	4.63	4.88	4.63	3.90	1.13	4.00	3.00	2.00	--
Ramanujan-2019-158-20	20	bowl	1530	BOWL	कटोरी (katoree)	0.98	0.36	0.93	4.70	4.90	4.70	3.43	0.28	5.00	3.00	3.00	--
Ramanujan-2019-158-21	21	box	1465	BOX	बिब्बा (dibba)	0.98	1.28	0.69	4.63	4.88	1.86	4.28	0.70	5.00	3.00	2.00	1098.82
Ramanujan-2019-158-22	22	broom	245	BROOM	झाडू  (jhadoo)	0.95	0.00	1.00	4.55	4.75	4.55	4.09	0.45	4.00	2.00	2.00	1006.00
