ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
Bennett-1976-50b-1	972	BE ABLE	1	be able
Bennett-1976-50b-2	1387	ARRIVE	2	arrive
Bennett-1976-50b-3	1309	ASK (INQUIRE)	3	ask
Bennett-1976-50b-4	1820	BEAR	4	bear
Bennett-1976-50b-5	1665	BEAT	5	beat
Bennett-1976-50b-6	692	BRING	6	bring
Bennett-1976-50b-7	1840	BUILD	7	build
Bennett-1976-50b-8	1869	BUY	8	buy
Bennett-1976-50b-9	1046	SHUT	9	close
Bennett-1976-50b-10	1446	COME	10	come
Bennett-1976-50b-11	879	COUGH	11	cough
Bennett-1976-50b-12	1494	DIE	12	die
Bennett-1976-50b-13	813	DO	13	do
Bennett-1976-50b-14	1401	DRINK	14	drink
Bennett-1976-50b-15	1615	ESCAPE	15	escape
Bennett-1976-50b-16	127	EXTINGUISH	16	extinguish
Bennett-1976-50b-17	1280	FALL	17	fall
Bennett-1976-50b-18	1441	FLY (MOVE THROUGH AIR)	18	fly
Bennett-1976-50b-19	695	GO	19	go
Bennett-1976-50b-20	1607	HATE	20	hate
Bennett-1976-50b-21	1408	HEAR	21	hear
Bennett-1976-50b-22	1897	HELP	22	help
Bennett-1976-50b-23	2486	HIDE	23	hide
Bennett-1976-50b-24	1435	HUNT	24	hunt
Bennett-1976-50b-25	1417	KILL	25	kill
Bennett-1976-50b-26	66	KNEEL	26	kneel
Bennett-1976-50b-27	3626	KNOW	27	know
Bennett-1976-50b-28	1355	LAUGH	28	laugh
Bennett-1976-50b-29	1752	LEAVE	29	leave
Bennett-1976-50b-30	923	LOVE	30	love
Bennett-1976-50b-31	1831	MEET	31	meet
Bennett-1976-50b-32	635	MILK	32	milk
Bennett-1976-50b-33	718	PAY	33	pay
Bennett-1976-50b-34	24	PRAY	34	pray
Bennett-1976-50b-35	724	READ	35	read
Bennett-1976-50b-36	49	REFUSE	36	refuse
Bennett-1976-50b-37	707	REMEMBER	37	remember
Bennett-1976-50b-38	1777	RESEMBLE	38	resemble
Bennett-1976-50b-39	581	COME BACK	39	return
Bennett-1976-50b-40	1409	SEE	40	see
Bennett-1976-50b-41	1468	LOOK FOR	41	seek
Bennett-1976-50b-42	48	BE SILENT	42	be silent
Bennett-1976-50b-43	1261	SING	43	sing
Bennett-1976-50b-44	1416	SIT	44	sit
Bennett-1976-50b-45	1442	STAND	45	stand
Bennett-1976-50b-46	713	STEAL	46	steal
Bennett-1976-50b-47	1711	TELL	47	tell
Bennett-1976-50b-48	1456	THROW	48	throw
Bennett-1976-50b-49	1917	TIE	49	tie
Bennett-1976-50b-50	1443	WALK	50	walk
